CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],ENS_[TWh],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun
0.54,0.42,0.48,0.3,0.31,0.08,5589.434959,0.964683324,440929.4125,340720.4366,4479.305051,2843.122475,0,461.8744235,49.08079293,0.112339486,0.479347297,0.202239132,0.156059314,0.10153939
1.38,0.17,0.1,0.42,0.29,0.48,12508.54252,0.848132459,440929.4125,1182887.549,3482.281843,2843.122475,0,2528.902204,84.16267881,0.028754335,0.31300571,0.187219522,0.06869458,0.06156049
1.65,0.38,0.38,0.21,0.32,0.34,5461.866757,0.889974409,440929.4125,1192289.458,3482.281843,2843.122475,0,2149.211233,44.85256251,0.041942579,0.315607314,0.194422547,0.100139409,0.053957905
1.01,0.08,0.35,0.45,0.38,0.08,8255.094161,0.969368883,440929.4125,996179.9855,4529.061341,2843.122475,0,2111.697271,68.28444295,0.062956202,0.306773295,0.190574938,0.078810325,0.062265605
0.77,0.3,0.15,0.12,0.41,0.37,11179.40602,0.851848341,440929.4125,528195.5729,4329.618483,2843.122475,0,653.7642086,77.52168076,0.034433784,0.440599349,0.195007808,0.17097111,0.079260331
1.38,0.09,0.02,0.32,0.35,0.17,20283.18679,0.926158692,440929.4125,1162336.225,4105.741715,2843.122475,0,2300.890542,123.5750407,0.056051707,0.337283137,0.198845232,0.073586069,0.051778791
0.82,0.33,0.36,0.47,0.26,0.42,5684.270288,0.853675904,440929.4125,679683.3133,3482.281843,2843.122475,0,1250.333799,45.31581752,0.043732585,0.39394573,0.194885914,0.102205746,0.089895935
1.55,0.58,0.5,0,0.4,0.63,2595.589565,0.815450195,440929.4125,1090723.12,3482.281843,2843.122475,0,1437.066146,18.92125962,0.076479603,0.566447786,0.201216119,0.191850685,0.056662533
0.86,0.88,0.28,0.31,0.35,0.18,7352.350993,0.932462811,440929.4125,644034.4255,4905.808746,2843.122475,0,1060.787702,60.94952876,0.154128134,0.758162447,0.196223715,0.127327848,0.079958681
1.75,0.71,0.25,0.08,0.31,0.59,3925.760397,0.836083183,440929.4125,1021512.296,3482.281843,2843.122475,0,1432.991658,35.64629389,0.089834095,0.556646207,0.193539568,0.161425809,0.059212847
1.77,0.4,0.22,0.39,0.39,0.51,6776.269079,0.851598024,440929.4125,1811149.197,3482.281843,2843.122475,0,3903.635391,51.75030533,0.034450812,0.276767205,0.189865612,0.063802817,0.042946402
0.87,0.37,0.12,0.36,0.36,0.28,12386.49505,0.892696311,440929.4125,722667.1269,5350.151437,2843.122475,0,1317.262692,84.31465002,0.056611279,0.384612853,0.197412422,0.109163386,0.072330257
0.97,0.64,0.27,0.34,0.49,0.33,5611.840279,0.897274939,440929.4125,1060829.24,3599.610338,2843.122475,0,1860.174677,49.48040833,0.093188766,0.427168752,0.194908875,0.107662696,0.059662376
0.66,0.63,0.25,0.1,0.4,0.56,4640.292699,0.817136802,440929.4125,419893.2456,3482.281843,2843.122475,0,394.7251635,40.41733023,0.1098323,0.665632351,0.194588996,0.198920232,0.092861425
0.98,0.22,0.07,0.07,0.44,0.63,12988.06567,0.790488897,440929.4125,763259.8449,6703.719669,2843.122475,0,979.946147,84.05932602,0.023261541,0.45780854,0.189840294,0.164817819,0.064438678
1.2,0.2,0.02,0.39,0.36,0.19,18576.91742,0.923290974,440929.4125,1116147.429,6996.515988,2843.122475,0,2278.770856,115.0280071,0.035899217,0.370330312,0.198374017,0.066986623,0.056595997
1.05,0.03,0.28,0.24,0.37,0.32,7698.57212,0.894152043,440929.4125,827803.1113,4162.221169,2843.122475,0,1361.390314,65.12897304,0.10723933,0.329461695,0.186584456,0.113778561,0.066828246
1.16,0.07,0.2,0.37,0.23,0.12,12811.5417,0.943916671,440929.4125,819219.6445,4141.137807,2843.122475,0,1634.004745,90.39965596,0.066695523,0.345861597,0.190100163,0.085530976,0.074294042
1.45,0.92,0.43,0.04,0.43,0.2,4866.919198,0.832974869,440929.4125,1087665.714,4905.808746,2843.122475,0,1437.96461,45.32514422,0.166526034,0.681842975,0.182355437,0.165773378,0.057985224
0.93,0.15,0.38,0.03,0.26,0.69,4479.080265,0.763743782,440929.4125,343991.4077,3482.281843,2843.122475,0,308.5306476,33.10171756,0.024986221,0.541989039,0.193231618,0.203519013,0.094825324
1.24,0.84,0.27,0.44,0.33,0.09,7490.01678,0.968763746,440929.4125,1121301.433,4905.808746,2843.122475,0,2374.515198,61.59655208,0.127899407,0.612070637,0.195535077,0.078248429,0.063913256
1.3,0.12,0.11,0.22,0.21,0.6,12233.7275,0.804684101,440929.4125,612317.0402,3482.281843,2843.122475,0,1075.780492,81.35302738,0.035345729,0.381323456,0.185631563,0.118769422,0.07742435
1.14,0.67,0.15,0.38,0.42,0.39,6891.838377,0.880005444,440929.4125,1141661.901,3649.778458,2843.122475,0,2222.353951,56.91234432,0.092178852,0.431581702,0.194789863,0.091741197,0.058256537
1.55,0.53,0.41,0.21,0.37,0.52,3699.783242,0.854317495,440929.4125,1276572.674,3482.281843,2843.122475,0,2181.504285,29.97939832,0.060019054,0.361568497,0.195776999,0.110283054,0.052284393
0.77,0.82,0.32,0.1,0.3,0.27,4714.564212,0.896708686,440929.4125,354359.2103,9121.959337,2843.122475,0,329.2436141,46.35812806,0.174304192,0.807506769,0.196229927,0.194890094,0.098392976
1.53,0.73,0.4,0.37,0.46,0.16,4515.254591,0.956993951,440929.4125,1756191.959,4905.808746,2843.122475,0,3531.935914,43.84416818,0.094857133,0.399142862,0.195908959,0.072351767,0.04382268
0.69,0.73,0.33,0.43,0.47,0.01,6875.902145,0.997613475,440929.4125,757486.3134,4905.808746,2843.122475,0,1303.580827,58.97282721,0.136138074,0.531399603,0.199785237,0.113753546,0.07415991
1.73,0.16,0.2,0.02,0.28,0.53,8594.431074,0.81585119,440929.4125,809498.4971,3482.281843,2843.122475,0,1051.563332,62.83091636,0.0281056,0.436373955,0.188451303,0.184754237,0.06268384
1.12,0.9,0.03,0.14,0.23,0.13,14347.40175,0.896154585,440929.4125,447554.6413,8039.09204,2843.122475,0,502.4045288,100.6364796,0.198377184,0.845144894,0.200377914,0.155657082,0.091584143
1.74,0.83,0.45,0.18,0.47,0.21,3610.735705,0.946939926,440929.4125,1766217.088,7012.264784,2843.122475,0,3024.52239,36.9906177,0.101101441,0.528182046,0.196885723,0.109170103,0.04061906
0.85,0.47,0.47,0.27,0.42,0.37,3969.011022,0.877096411,440929.4125,743685.463,3482.281843,2843.122475,0,1124.945762,33.62392759,0.070008277,0.410447459,0.199076375,0.133975966,0.07259847
